"timestamp","rainfall","stormwater"
2024-04-01 15:50:00,0,50.901
2024-04-01 15:51:00,0,50.537
2024-04-01 15:52:00,0,50.226
2024-04-01 15:53:00,0,49.706
2024-04-01 15:54:00,0,50.691
2024-04-01 15:55:00,0,50.618
2024-04-01 15:56:00,0,50.804
2024-04-01 15:57:00,0,50.797
2024-04-01 15:58:00,0,50.665
2024-04-01 15:59:00,0,50.246
2024-04-01 16:00:00,0,50.704
2024-04-01 16:01:00,0,50.786
2024-04-01 16:02:00,0,50.366
2024-04-01 16:03:00,0,49.878
2024-04-01 16:04:00,0,50.391
2024-04-01 16:05:00,0,50.925
2024-04-01 16:06:00,0,50.402
2024-04-01 16:07:00,0,50.345
2024-04-01 16:08:00,0,50.927
2024-04-01 16:09:00,0,50.806
2024-04-01 16:10:00,0,49.691
2024-04-01 16:11:00,0,50.805
2024-04-01 16:12:00,0,50.324
2024-04-01 16:13:00,0,50.965
2024-04-01 16:14:00,0,50.333
2024-04-01 16:15:00,0,50.261
2024-04-01 16:16:00,0,50.781
2024-04-01 16:17:00,0,51.302
2024-04-01 16:18:00,0,50.492
2024-04-01 16:19:00,0,51.072
2024-04-01 16:20:00,0,50.748
2024-04-01 16:21:00,0,50.74
2024-04-01 16:22:00,0,50.666
2024-04-01 16:23:00,0,51.562
2024-04-01 16:24:00,0,51.275
2024-04-01 16:25:00,0,51.743
2024-04-01 16:26:00,0,50.94
2024-04-01 16:27:00,0,51.371
2024-04-01 16:28:00,0,51.242
2024-04-01 16:29:00,0,50.656
2024-04-01 16:30:00,0,51.264
2024-04-01 16:31:00,0,50.956
2024-04-01 16:32:00,0,51.417
2024-04-01 16:33:00,0,50.594
2024-04-01 16:34:00,0,50.402
2024-04-01 16:35:00,0,51.055
2024-04-01 16:36:00,0,51.094
2024-04-01 16:37:00,0,51.116
2024-04-01 16:38:00,0,50.989
2024-04-01 16:39:00,0,51.054
2024-04-01 16:40:00,0,51.115
2024-04-01 16:41:00,0,51.81
2024-04-01 16:42:00,0,51.547
2024-04-01 16:43:00,0,50.953
2024-04-01 16:44:00,0,51.137
2024-04-01 16:45:00,0,51.163
2024-04-01 16:46:00,0,51.69
2024-04-01 16:47:00,0,51.15
2024-04-01 16:48:00,0,51.453
2024-04-01 16:49:00,0,50.738
2024-04-01 16:50:00,0,51.641
2024-04-01 16:51:00,0,51.961
2024-04-01 16:52:00,0,51.518
2024-04-01 16:53:00,0,51.481
2024-04-01 16:54:00,0,51.806
2024-04-01 16:55:00,0,51.39
2024-04-01 16:56:00,0,51.903
2024-04-01 16:57:00,0,51.564
2024-04-01 16:58:00,0,51.167
2024-04-01 16:59:00,0,51.574
2024-04-01 17:00:00,0,51.717
2024-04-01 17:01:00,0,51.621
2024-04-01 17:02:00,0,51.099
2024-04-01 17:03:00,0,51.342
2024-04-01 17:04:00,0,51.422
2024-04-01 17:05:00,0,51.826
2024-04-01 17:06:00,0,51.484
2024-04-01 17:07:00,0,51.336
2024-04-01 17:08:00,0,51.112
2024-04-01 17:09:00,0,50.759
2024-04-01 17:10:00,0,51.182
2024-04-01 17:11:00,0,51.384
2024-04-01 17:12:00,0,51.671
2024-04-01 17:13:00,0,51.123
2024-04-01 17:14:00,0,51.468
2024-04-01 17:15:00,0,51.373
2024-04-01 17:16:00,0,51.307
2024-04-01 17:17:00,0,51.782
2024-04-01 17:18:00,0,51.916
2024-04-01 17:19:00,0,51.701
2024-04-01 17:20:00,0,51.744
2024-04-01 17:21:00,0,50.927
2024-04-01 17:22:00,0,51.895
2024-04-01 17:23:00,0,51.529
2024-04-01 17:24:00,0,51.343
2024-04-01 17:25:00,0,51.748
2024-04-01 17:26:00,0,51.237
2024-04-01 17:27:00,0,51.861
2024-04-01 17:28:00,0,51.563
2024-04-01 17:29:00,0,51.379
2024-04-01 17:30:00,0,51.541
2024-04-01 17:31:00,0,51.689
2024-04-01 17:32:00,0,51.83
2024-04-01 17:33:00,0,51.736
2024-04-01 17:34:00,0,52.112
2024-04-01 17:35:00,0,51.92
2024-04-01 17:36:00,0,51.823
2024-04-01 17:37:00,0,52.087
2024-04-01 17:38:00,0,51.961
2024-04-01 17:39:00,0,51.847
2024-04-01 17:40:00,0,51.766
2024-04-01 17:41:00,0,52.263
2024-04-01 17:42:00,0,51.656
2024-04-01 17:43:00,0,52.192
2024-04-01 17:44:00,0,52.063
2024-04-01 17:45:00,0,52.181
2024-04-01 17:46:00,0,51.893
2024-04-01 17:47:00,0,52.731
2024-04-01 17:48:00,0,51.965
2024-04-01 17:49:00,0,51.751
2024-04-01 17:50:00,0,51.702
2024-04-01 17:51:00,0,52.442
2024-04-01 17:52:00,0,51.934
2024-04-01 17:53:00,0,51.863
2024-04-01 17:54:00,0,51.534
2024-04-01 17:55:00,0,51.327
2024-04-01 17:56:00,0,51.006
2024-04-01 17:57:00,0,51.504
2024-04-01 17:58:00,0,51.816
2024-04-01 17:59:00,0,51.512
2024-04-01 18:00:00,0,52.146
